prenom_joueur,nom_joueur,id_pays
Thomas,Muller,3
 Mesut,Ozil,3
 Toni,Kroos,3
 Manuel,Neuer,3
 Mario,Gomez,3
 Sami,Khedira,3
 Jerome,Boateng,3
 Mats,Hummels,3
 Julian,Draxler,3
 Jonas,Hector,3
 Marco,Reus,3
 Joshua,Kimmich,3
 Ilkay,Gundogan,3
 Sebastian,Rudy,3
 Antonio,Rudiger,3
 Marc-Andre,Ter Stegen,3
 Julian,Brandt,3
 Matthias,Ginter,3
 Timo,Werner,3
 Leon,Goretzka,3
 Niklas,Sule,3
 Marvin,Plattenhardt,3
 Kevin,Trapp,3
 Gary,Cahill,5
 Jordan,Henderson,5
 Raheem,Sterling,5
 Danny,Welbeck,5
 Kyle,Walker,5
 Ashley,Young,5
 John,Stones,5
 Eric,Dier,5
 Dele,Alli,5
 Harry,Kane,5
 Phil,Jones,5
 Jamie,Vardy,5
 Marcus,Rashford,5
 Daniel,Rose,5
 Jesse,Lingard,5
 Fabian,Delph,5
 Kieran,Trippier,5
 Harry,Maguire,5
 Jack,Butland,5
 Jordan,Pickford,5
 Ruben,Loftus-Cheek,5
 Trent,Alexander-Arnold,5
 Nick,Pope,5
 Osama,Hawsawi,7
 Taisir,Al-Jassim,7
 Yehya,Sulaiman Al-Shehri,7
 Fahad,Al-Muwallad,7
 Salman,Mohammed Al-Faraj,7
 Omar,Hawsawi,7
 Mohammad,Al-Sahlawi,7
 Mansour,Al-Harbi,7
 Yasir,Gharsan Al-Shahrani,7
 Abdulmalek,Al-Khaibri,7
 Salem,Mohammed Al-Dawsari,7
 Yasser,Al-Mosailem,7
 Housain,Al-Mogahwi,7
 Abdullah,Otayf,7
 Muhannad,Assiri,7
 Motaz,Hawsawi,7
 Mohammed,Al-Breik,7
 Abdullah,Al-Mayouf,7
 Hattan,Bahebri,7
 Mohammed,Al-Owais,7
 Mohamed,Kanno,7
 Ali,Al-Bulaihi,7
 Abdullah,Al-Khaibari,7
 Javier,Mascherano,8
 Lionel,Messi,8
 Angel,Di Maria,8
 Sergio,Aguero,8
 Gonzalo,Higuain,8
 Ever,Banega,8
 Marcos,Rojo,8
 Nicolas,Otamendi,8
 Lucas,Biglia,8
 Enzo,Perez,8
 Gabriel,Mercado,8
 Paulo,Dybala,8
 Eduardo,Salvio,8
 Marcos,Acuna,8
 Federico,Fazio,8
 Cristian,Pavon,8
 Nicolas,Tagliafico,8
 Nahuel,Guzman,8
 Maximiliano,Meza,8
 Wilfredo,Caballero,8
 Cristian,Ansaldi,8
 Giovani,Lo Celso,8
 Franco,Armani,8
 Tim,Cahill,9
 Mile,Jedinak,9
 Mark,Milligan,9
 Robbie,Kruse,9
 Mathew,Leckie,9
 Mathew,Ryan,9
 Tomas,Rogic,9
 Trent,Sainsbury,9
 Tomi,Juric,9
 Aaron,Mooy,9
 Massimo,Luongo,9
 Aziz,Behich,9
 Jackson,Irvine,9
 Milos,Degenek,9
 Joshua,Risdon,9
 Bradley,Jones,9
 Jamie,Maclaren,9
 Andrew,Nabbout,9
 Daniel,Arzani,9
 Matthew,Jurman,9
 James,Meredith,9
 Dimitri,Petratos,9
 Danny,Vukovic,9
 Jan,Vertonghen,11
 Axel,Witsel,11
 Eden,Hazard,11
 Marouane,Fellaini,11
 Toby,Alderweireld,11
 Vincent,Kompany,11
 Mousa,Dembele,11
 Dries,Mertens,11
 Romelu,Lukaku,11
 Thomas,Vermaelen,11
 Kevin,De Bruyne,11
 Thibaut,Courtois,11
 Nacer,Chadli,11
 Yannick,Carrasco,11
 Thomas,Meunier,11
 Simon,Mignolet,11
 Michy,Batshuayi,11
 Thorgan,Hazard,11
 Youri,Tielemans,11
 Derdryck,Boyata,11
 Adnan,Januzaj,11
 Leander,Dendoncker,11
 Koen,Casteels,11
 Neymar,Da Silva Santos Junior,14
 Thiago,Silva,14
 Willian,Borges da Silva,14
 Marcelo,Vieira da Silva Junior,14
 Paulinho,Bezerra Maciel Junior,14
 Joao,Miranda,14
 Fernandinho,Luiz Roza,14
 Philippe,Coutinho,14
 Filipe,Luis,14
 Alisson,Becker,14
 Renato,Augusto,14
 Carlos,Henrique,14
 Marquinhos,Aoas Correa ,14
 Douglas,Costa,14
 Roberto,Firmino,14
 Gabriel,Jesus,14
 Danilo,Luiz da Silva,14
 Fred,Rodrigues,14
 Taison,Barcellos Freda,14
 Fagner,Conserva Lemo,14
 Pedro,Geromel,14
 Cassio,Ramos,14
 Ederson,Moraes,14
 David,Ospina,20
 Carlos,Sanchez,20
 Radamel,Falcao,20
 Juan,Guillermo,20
 Abel,Aguilar,20
 James,Rodriguez,20
 Cristian,Zapata,20
 Carlos,Bacca,20
 Santiago,Arias,20
 Luis,Muriel,20
 Juan,Quintero,20
 Yerry,Mina,20
 Oscar,Murillo,20
 Farid,Diaz,20
 Davinson,Sanchez,20
 Wilmar,Barrios,20
 Mateus,Uribe,20
 Jefferson,Lerma,20
 Johan,Mojica,20
 Miguel,Borja,20
 Jose,Heriberto,20
 Camilo,Vargas,20
 Jose,Fernando,20
 Sung-yong,Ki,22
