noms_pays,nom_joueur,poste,taille,poids,nb_sel
Japon,Naomichi Ueda,DEF,1.86m,79kg,4 sel.
Maroc,Mbark Boussoufa,MIL,1.67m,59kg,61 sel.
Maroc,Mehdi Benatia,DEF,1.88m,88kg,58 sel.
Maroc,Karim El-Ahmadi,MIL,1.85m,78kg,54 sel.
Maroc,Younes Belhanda,MIL,1.77m,78kg,50 sel.
Maroc,Nordin Amrabat,ATT,1.78m,77kg,46 sel.
Maroc,Nabil Dirar,MIL,1.87m,82kg,36 sel.
Maroc,Manuel Da Costa,DEF,1.87m,78kg,31 sel.
Maroc,Munir El-Kajoui,GAR,1.89m,88kg,30 sel.
Maroc,Romain Saiss,DEF,1.90m,76kg,28 sel.
Maroc,Fayçal Fajr,MIL,1.78m,72kg,24 sel.
Maroc,Mehdi Carcela,MIL,1.76m,67kg,22 sel.
Maroc,Hakim Ziyech,MIL,1.80m,70kg,21 sel.
Maroc,Khalid Boutaïb,ATT,1.90m,80kg,20 sel.
Maroc,Youssef En-Nesyri,ATT,1.88m,75kg,17 sel.
Maroc,Aziz Bouhaddouz,ATT,1.88m,80kg,16 sel.
Maroc,Youssef Aït Bennasser,MIL,1.84m,75kg,14 sel.
Maroc,Achraf Hakimi,DEF,1.77m,65kg,13 sel.
Maroc,Hamza Mendyl,MIL,1.79m,70kg,13 sel.
Maroc,Ayoub El-Kaabi,ATT,1.82m,72kg,12 sel.
Maroc,Yassine Bounou,GAR,1.90m,78kg,10 sel.
Maroc,Sofyan Amrabat,MIL,1.82m,77kg,7 sel.
Maroc,Amine Harit,MIL,1.79m,66kg,7 sel.
Maroc,Ahmed Reda Tagnaouti,GAR,1.82m,70kg,2 sel.
Mexique,Andrés Guardado,MIL,1.69m,60kg,152 sel.
Mexique,Rafael Marquez,DEF,1.82m,75kg,147 sel.
Mexique,Giovani Dos Santos,ATT,1.75m,74kg,107 sel.
Mexique,Javier Hernandez,ATT,1.73m,62kg,106 sel.
Mexique,Guillermo Ochoa,GAR,1.85m,78kg,98 sel.
Mexique,Hector Moreno,DEF,1.82m,80kg,95 sel.
Mexique,Carlos Vela,ATT,1.72m,72kg,72 sel.
Mexique,Hector Herrera,MIL,1.80m,72kg,70 sel.
Mexique,Miguel Layun,MIL,1.76m,66kg,67 sel.
Mexique,Oribe Peralta,ATT,1.70m,71kg,67 sel.
Mexique,Raul Jimenez,ATT,1.90m,76kg,65 sel.
Mexique,Jose de Jesus Corona,GAR,1.88m,82kg,53 sel.
Mexique,Javier Aquino,MIL,1.65m,62kg,53 sel.
Mexique,Hugo Ayala,DEF,1.86m,78kg,45 sel.
Mexique,Marco Fabian,MIL,1.72m,69kg,40 sel.
Mexique,Jesus Manuel Corona,MIL,1.73m,62kg,38 sel.
Mexique,Jonathan Dos Santos,MIL,1.74m,72kg,37 sel.
Mexique,Hirving Lozano,ATT,1.77m,70kg,32 sel.
Mexique,Alfredo Talavera,GAR,1.88m,84kg,28 sel.
Mexique,Jesus Gallardo,DEF,1.76m,73kg,27 sel.
Mexique,Carlos Salcedo,DEF,1.88m,77kg,25 sel.
Mexique,Edson Alvarez,ATT,1.90m,72kg,17 sel.
Mexique,Erick Gutierrez,MIL,1.76m,70kg,9 sel.
Nigeria,John Obi Mikel,MIL,1.88m,82kg,88 sel.
Nigeria,Ahmed Musa,ATT,1.73m,65kg,71 sel.
Nigeria,Elderson Echiejile,DEF,1.85m,82kg,61 sel.
Nigeria,Ogenyi Onazi,MIL,1.72m,74kg,52 sel.
Nigeria,Kenneth Omeruo,DEF,1.85m,82kg,41 sel.
Nigeria,Victor Moses,ATT,1.77m,75kg,38 sel.
Nigeria,Abdullahi Shehu,DEF,1.82m,75kg,26 sel.
Nigeria,William Troost-Ekong,DEF,1.91m,85kg,25 sel.
Nigeria,Leon Balogun,DEF,1.90m,81kg,22 sel.
Nigeria,Odion Jude Ighalo,ATT,1.88m,83kg,22 sel.
Nigeria,Alex Iwobi,ATT,1.85m,86kg,22 sel.
Nigeria,Onyinye Wilfred Ndidi,DEF,1.84m,73kg,20 sel.
Nigeria,Kelechi Iheanacho,ATT,1.83m,80kg,20 sel.
Nigeria,John Ogu,MIL,1.91m,90kg,19 sel.
Nigeria,Ikechukwu Ezenwa,GAR,1.81m,80kg,18 sel.
Nigeria,Oghenekaro Etebo,MIL,1.74m,74kg,16 sel.
Nigeria,Joel Obi,MIL,1.77m,77kg,15 sel.
Nigeria,Francis Uzoho,GAR,1.96m,91kg,9 sel.
Nigeria,Brian Idowu,DEF,1.79m,75kg,8 sel.
Nigeria,Daniel Akpeyi,GAR,1.87m,94kg,7 sel.
Nigeria,Tyronne Ebuehi,DEF,1.87m,74kg,7 sel.
Nigeria,Chidozie Awaziem,DEF,1.92m,76kg,4 sel.
Nigeria,Simy Nwankwo,ATT,1.97m,89kg,4 sel.
Panama,Gabriel Gomez,MIL,1.83m,77kg,144 sel.
Panama,Jaime Penedo,GAR,1.83m,70kg,134 sel.
Panama,Blas Perez,ATT,1.87m,83kg,119 sel.
Panama,Roman Torres,DEF,1.88m,99kg,113 sel.
Panama,Luis Tejada,ATT,1.85m,87kg,107 sel.
Panama,Armando Cooper,MIL,1.73m,72kg,102 sel.
Panama,Felipe Baloy,DEF,1.85m,87kg,101 sel.
Panama,Anibal Godoy,MIL,1.82m,82kg,91 sel.
Panama,Adolfo Machado,DEF,1.81m,78kg,77 sel.
Panama,Gabriel Torres,ATT,1.80m,77kg,74 sel.
Panama,Harold Cummings,DEF,1.80m,92kg,53 sel.
Panama,Erick Davis,DEF,1.79m,81kg,40 sel.
Panama,Abdiel Arroyo,ATT,1.87m,82kg,35 sel.
Panama,José Calderon,GAR,1.87m,87kg,32 sel.
Panama,Edgar Yoel Barcenas,MIL,1.75m,72kg,32 sel.
Panama,Fidel Escobar,DEF,1.81m,82kg,26 sel.
Panama,Luis Ovalle,DEF,1.77m,71kg,26 sel.
Panama,Michael Murillo,DEF,1.83m,78kg,24 sel.
Panama,Valentin Pimentel,ATT,1.85m,80kg,23 sel.
Panama,Ismael Diaz,ATT,1.82m,72kg,13 sel.
Panama,Ricardo Avila,MIL,1.82m,75kg,7 sel.
Panama,Alex Rodriguez,GAR,1.98m,83kg,6 sel.
Panama,Jose Luis Rodriguez,MIL,1.80m,77kg,5 sel.
Perou,Paolo Guerrero,ATT,1.84m,80kg,91 sel.
Perou,Jefferson Farfan,ATT,1.78m,84kg,86 sel.
Perou,Alberto Rodriguez,DEF,1.82m,78kg,75 sel.
Perou,Yoshimar Yotun,MIL,1.71m,65kg,74 sel.
Perou,Christian Ramos,DEF,1.81m,74kg,72 sel.
Perou,Luis Advincula,MIL,1.78m,75kg,69 sel.
Perou,André Carrillo,MIL,1.82m,73kg,49 sel.
Perou,Christian Cueva,MIL,1.69m,69kg,49 sel.
Perou,Pedro Gallese,GAR,1.89m,79kg,42 sel.
Perou,Renato Tapia,DEF,1.85m,80kg,35 sel.
Perou,Paolo Hurtado,MIL,1.77m,72kg,34 sel.
Perou,Edison Flores,ATT,1.70m,72kg,33 sel.
Perou,Raul Ruidiaz,ATT,1.69m,67kg,31 sel.
Perou,Miguel Trauco,MIL,1.75m,65kg,30 sel.
Perou,Aldo Corzo,DEF,1.72m,75kg,25 sel.
Perou,Andy Polo,ATT,1.70m,57kg,17 sel.
Perou,Pedro Aquino,MIL,1.75m,71kg,16 sel.
Perou,Anderson Santamaria,MIL,1.82m,84kg,8 sel.
Perou,Miguel Araujo,DEF,1.78m,77kg,7 sel.
Perou,Carlos Caceda,GAR,1.83m,78kg,6 sel.
Perou,Jose Carvallo,GAR,1.82m,84kg,6 sel.
Perou,Wilder Cartagena,MIL,1.80m,76kg,4 sel.
Perou,Nilson Loyola,MIL,1.75m,68kg,4 sel.
Pologne,Jakub Blaszczykowski,MIL,1.75m,71kg,99 sel.
Pologne,Robert Lewandowski,ATT,1.84m,78kg,97 sel.
Pologne,Lukasz Piszczek,DEF,1.84m,75kg,64 sel.
Pologne,Kamil Glik,DEF,1.90m,80kg,60 sel.
Pologne,Kamil Grosicki,MIL,1.80m,78kg,59 sel.
Pologne,Grzegorz Krychowiak,MIL,1.86m,85kg,54 sel.
Pologne,Maciej Rybus,DEF,1.73m,70kg,53 sel.
Pologne,Lukasz Fabianski,GAR,1.91m,84kg,45 sel.
Pologne,Slawomir Peszko,MIL,1.72m,69kg,44 sel.
Pologne,Arkadiusz Milik,ATT,1.89m,78kg,41 sel.
Pologne,Wojciech Szczesny,GAR,1.95m,84kg,37 sel.
Pologne,Artur Jedrzejczyk,DEF,1.89m,78kg,37 sel.
Pologne,Piotr Zielinski,MIL,1.77m,68kg,35 sel.
Pologne,Michal Pazdan,DEF,1.80m,78kg,34 sel.
Pologne,Thiago Rangel Cionek,DEF,1.84m,81kg,19 sel.
Pologne,Karol Linetty,MIL,1.76m,73kg,19 sel.
Pologne,Lukasz Teodorczyk,ATT,1.85m,76kg,17 sel.
Pologne,Bartosz Bereszynski,MIL,1.82m,72kg,11 sel.
Pologne,Jacek Goralski,MIL,1.72m,66kg,7 sel.
Pologne,Jan Bednarek,DEF,1.89m,77kg,6 sel.
Pologne,Rafal Kurzawa,MIL,1.82m,73kg,4 sel.
Pologne,Dawid Kownacki,ATT,1.85m,80kg,4 sel.
Pologne,Bartosz Bialkowski,GAR,1.94m,90kg,1 sel.
Portugal,Cristiano Ronaldo,ATT,1.84m,83kg,154 sel.
Portugal,João Moutinho,MIL,1.70m,61kg,113 sel.
Portugal,Pepe,DEF,1.90m,81kg,99 sel.
Portugal,Bruno Alves,DEF,1.90m,82kg,96 sel.
Portugal,Ricardo Quaresma,MIL,1.73m,70kg,80 sel.
Portugal,Rui Patricio,GAR,1.88m,84kg,73 sel.
Portugal,William Carvalho,MIL,1.86m,87kg,47 sel.
Portugal,João Mario,MIL,1.79m,78kg,40 sel.
Portugal,Jose Miguel Fonte,DEF,1.87m,81kg,35 sel.
Portugal,Cédric Soares,DEF,1.72m,67kg,32 sel.
Portugal,Bernardo Silva,MIL,1.73m,65kg,29 sel.
Portugal,Raphaël Guerreiro,DEF,1.70m,67kg,28 sel.
Portugal,Adrien Silva,MIL,1.75m,75kg,26 sel.
Portugal,André Silva,ATT,1.84m,71kg,26 sel.
Portugal,Gelson Martins,ATT,1.73m,74kg,19 sel.
Portugal,Manuel Fernandes,MIL,1.75m,69kg,15 sel.
Portugal,Beto,GAR,1.82m,80kg,14 sel.
Portugal,Gonçalo Guedes,ATT,1.79m,68kg,14 sel.
Portugal,Bruno Fernandes,MIL,1.73m,65kg,8 sel.
Portugal,Anthony Lopes,GAR,1.84m,81kg,7 sel.
Portugal,Ricardo Pereira,DEF,1.75m,70kg,5 sel.
Portugal,Mario Rui,DEF,1.70m,67kg,4 sel.
Portugal,Ruben Dias,DEF,1.87m,83kg,1 sel.
Russie,Sergeï Ignachevitch,DEF,1.86m,82kg,126 sel.
Russie,Igor Akinfeïev,GAR,1.84m,71kg,110 sel.
Russie,Youri Jirkov,MIL,1.78m,70kg,87 sel.
Russie,Alan Dzagoïev,MIL,1.79m,70kg,58 sel.
Russie,Alexandre Samedov,MIL,1.74m,64kg,52 sel.
Russie,Fiodor Smolov,ATT,1.88m,80kg,36 sel.
Russie,Igor Smolnikov,DEF,1.78m,70kg,28 sel.
Russie,Artem Dziouba,ATT,1.94m,88kg,27 sel.
Russie,Fiodor Koudriachov,DEF,1.81m,77kg,22 sel.
Russie,Alexandre Golovine,MIL,1.80m,69kg,22 sel.
Russie,Alexeï Mirantchouk,ATT,1.77m,67kg,19 sel.
Russie,Alexandre Ierokhine,MIL,1.92m,76kg,18 sel.
Russie,Roman Zobnine,MIL,1.82m,72kg,16 sel.
Russie,Denis Cherichev,MIL,1.80m,71kg,15 sel.
Russie,Vladimir Granat,DEF,1.84m,80kg,13 sel.
Russie,Ilya Koutepov,DEF,1.91m,82kg,11 sel.
Russie,Vladimir Gaboulov,GAR,1.90m,83kg,10 sel.
Russie,Daler Kouzyaïev,MIL,1.77m,68kg,10 sel.
Russie,Mario Fernandes,DEF,1.89m,77kg,9 sel.
Russie,Youri Gazinski,MIL,1.84m,75kg,9 sel.
Russie,Andreï Semionov,DEF,1.90m,86kg,6 sel.
Russie,Anton Mirantchouk,MIL,1.84m,75kg,6 sel.
Russie,Andreï Louniov,GAR,1.89m,80kg,3 sel.
Senegal,Idrissa Gueye,MIL,1.74m,66kg,59 sel.
Senegal,Sadio Mané,MIL,1.75m,69kg,54 sel.
Senegal,Mame Biram Diouf,ATT,1.85m,81kg,48 sel.
Senegal,Moussa Sow,ATT,1.80m,83kg,47 sel.
Senegal,Serigne Kara Mbodji,DEF,1.92m,85kg,46 sel.
Senegal,Cheikhou Kouyaté,DEF,1.89m,75kg,46 sel.
Senegal,Lamine Gassama,DEF,1.81m,74kg,36 sel.
Senegal,Khadim N'Diaye,GAR,1.85m,80kg,28 sel.
Senegal,Kalidou Koulibaly,DEF,1.95m,89kg,28 sel.
Senegal,Moussa Konaté,ATT,1.80m,78kg,28 sel.
Senegal,Cheikh N'Doye,MIL,1.92m,90kg,26 sel.
Senegal,Salif Sané,MIL,1.94m,84kg,25 sel.
Senegal,Alfred N'Diaye,DEF,1.87m,80kg,23 sel.
Senegal,Papa Alioune N'Diaye,ATT,1.80m,74kg,23 sel.
Senegal,Ismaïla Sarr,MIL,1.85m,70kg,18 sel.
Senegal,Keita Baldé,ATT,1.81m,77kg,18 sel.
Senegal,Abdoulaye Diallo,GAR,1.89m,79kg,16 sel.
Senegal,Saliou Ciss,DEF,1.73m,69kg,16 sel.
Senegal,Moussa Wagué,DEF,1.77m,70kg,13 sel.
Senegal,Diafra Sakho,ATT,1.84m,79kg,12 sel.
Senegal,M'Baye Niang,ATT,1.84m,75kg,10 sel.
Senegal,Youssouf Sabaly,DEF,1.74m,70kg,8 sel.
Senegal,Alfred Gomis,GAR,1.96m,80kg,1 sel.
Serbie,Branislav Ivanovic,DEF,1.85m,89kg,105 sel.
Serbie,Vladimir Stojkovic,GAR,1.95m,92kg,84 sel.
Serbie,Aleksandar Kolarov,DEF,1.87m,80kg,79 sel.
Serbie,Dusan Tadic,MIL,1.81m,76kg,56 sel.
Serbie,Antonio Rukavina,DEF,1.77m,74kg,49 sel.
Serbie,Nemanja Matic,MIL,1.94m,86kg,43 sel.
Serbie,Aleksandar Mitrovic,ATT,1.89m,82kg,40 sel.
Serbie,Adem Ljajic,ATT,1.81m,74kg,32 sel.
Serbie,Luka Milivojevic,MIL,1.86m,80kg,30 sel.
Serbie,Filip Kostic,MIL,1.84m,82kg,26 sel.
Serbie,Dusko Tosic,DEF,1.84m,79kg,25 sel.
Serbie,Andrija Zivkovic,MIL,1.70m,68kg,11 sel.
Serbie,Aleksandar Prijovic,ATT,1.91m,88kg,10 sel.
Serbie,Predrag Rajkovic,GAR,1.91m,75kg,8 sel.
Serbie,Marko Grujic,MIL,1.91m,82kg,8 sel.
Serbie,Sergej Milinkovic-Savic,MIL,1.92m,76kg,7 sel.
Serbie,Nikola Milenkovic,DEF,1.95m,90kg,5 sel.
Serbie,Uros Spajic,DEF,1.88m,82kg,5 sel.
Serbie,Nemanja Radonjic,MIL,1.85m,76kg,5 sel.
Serbie,Milos Veljkovic,DEF,1.88m,77kg,3 sel.
Serbie,Marko Dmitrovic,GAR,1.94m,90kg,2 sel.
Serbie,Luka Jovic,ATT,1.81m,75kg,2 sel.
Serbie,Milan Rodic,DEF,1.85m,69kg,1 sel.
Suede,Sebastian Larsson,MIL,1.79m,71kg,104 sel.
Suede,Andreas Granqvist,DEF,1.92m,84kg,76 sel.
Suede,Michael Lustig,DEF,1.89m,77kg,70 sel.
Suede,Ola Toivonen,ATT,1.92m,78kg,63 sel.
Suede,Marcus Berg,ATT,1.84m,78kg,61 sel.
Suede,Jimmy Durmaz,MIL,1.81m,69kg,46 sel.
Suede,Martin Olsson,DEF,1.77m,81kg,44 sel.
Suede,Emil Forsberg,MIL,1.79m,78kg,40 sel.
Suede,Albin Ekdal,MIL,1.86m,75kg,38 sel.
Suede,Victor Nilsson Lindelöf,DEF,1.87m,82kg,24 sel.
Suede,Oscar Hiljemark,MIL,1.84m,73kg,24 sel.
Suede,Isaac Kiese Thelin,ATT,1.89m,83kg,24 sel.
Suede,Viktor Claesson,MIL,1.83m,79kg,23 sel.
Suede,Robin Olsen,GAR,1.98m,86kg,22 sel.
Suede,John Guidetti,ATT,1.85m,79kg,21 sel.
Suede,Ludwig Augustinsson,DEF,1.81m,76kg,19 sel.
Suede,Pontus Jansson,DEF,1.94m,89kg,16 sel.
Suede,Emil Krafth,DEF,1.81m,72kg,14 sel.
Suede,Gustav Johan Svensson,MIL,1.84m,82kg,14 sel.
Suede,Marcus Rohden,MIL,1.82m,75kg,10 sel.
Suede,Kristoffer Nordfeldt,GAR,1.90m,85kg,8 sel.
Suede,Filip Helander,DEF,1.92m,83kg,4 sel.
Suede,Karl Johan Johnsson,GAR,1.88m,84kg,3 sel.
Suisse,Stephan Lichtsteiner,DEF,1.81m,78kg,103 sel.
Suisse,Valon Behrami,MIL,1.84m,71kg,83 sel.
Suisse,Johan Djourou,DEF,1.91m,90kg,75 sel.
Suisse,Xherdan Shaqiri,MIL,1.69m,72kg,74 sel.
Suisse,Blerim Dzemaili,MIL,1.80m,77kg,69 sel.
Suisse,Gelson Fernandes,MIL,1.80m,72kg,67 sel.
Suisse,Granit Xhaka,MIL,1.83m,82kg,66 sel.
Suisse,Ricardo Rodriguez,DEF,1.80m,79kg,57 sel.
Suisse,Haris Seferovic,ATT,1.85m,88kg,54 sel.
Suisse,Fabian Schär,DEF,1.86m,85kg,42 sel.
Suisse,Yann Sommer,GAR,1.83m,81kg,39 sel.
Suisse,Josip Drmic,ATT,1.84m,78kg,32 sel.
Suisse,Breel Donald Embolo,ATT,1.84m,86kg,29 sel.
Suisse,Michael Lang,DEF,1.84m,76kg,27 sel.
Suisse,François Moubandje,DEF,1.80m,74kg,18 sel.
Suisse,Mario Gavranovic,ATT,1.75m,74kg,16 sel.
Suisse,Steven Zuber,MIL,1.82m,80kg,15 sel.
Suisse,Denis Zakaria,MIL,1.91m,76kg,12 sel.
Suisse,Manuel Akanji,DEF,1.87m,85kg,11 sel.
Suisse,Remo Freuler,MIL,1.81m,77kg,10 sel.
Suisse,Roman Bürki,GAR,1.87m,83kg,9 sel.
Suisse,Nico Elvedi,DEF,1.88m,74kg,6 sel.
Suisse,Yvon Mvogo,GAR,1.86m,84kg,
Tunisie,Ali Maaloul,DEF,1.70m,72kg,51 sel.
Tunisie,Aymen Mathlouthi,GAR,1.82m,84kg,46 sel.
Tunisie,Syam Ben Youssef,DEF,1.89m,87kg,46 sel.
Tunisie,Saber Khalifa,ATT,1.85m,72kg,46 sel.
Tunisie,Ferjani Sassi,MIL,1.86m,80kg,44 sel.
Tunisie,Fakhreddine Ben Youssef,ATT,1.89m,80kg,42 sel.
Tunisie,Wahbi Khazri,MIL,1.82m,76kg,40 sel.
Tunisie,Mohamed Amine Ben Amor,MIL,1.80m,75kg,28 sel.
Tunisie,Naim Sliti,ATT,1.73m,75kg,23 sel.
Tunisie,Yassine Meriah,DEF,1.83m,70kg,20 sel.
Tunisie,Hamdi Nagguez,DEF,1.86m,75kg,19 sel.
Tunisie,Farouk Ben Mustapha,GAR,1.92m,85kg,17 sel.
Tunisie,Anice Badri,ATT,1.78m,70kg,13 sel.
Tunisie,Rami Bedoui,DEF,1.87m,77kg,11 sel.
Tunisie,Oussama Haddadi,DEF,1.85m,76kg,10 sel.
Tunisie,Ghailene Chaalali,MIL,1.79m,70kg,8 sel.
Tunisie,Ellyes Skhiri,MIL,1.85m,69kg,8 sel.
Tunisie,Dylan Bronn,DEF,1.86m,75kg,7 sel.
Tunisie,Saîf-Eddine Khaoui,MIL,1.80m,76kg,6 sel.
Tunisie,Bassem Srarfi,ATT,1.76m,71kg,6 sel.
Tunisie,Yohan Benalouane,DEF,1.85m,75kg,5 sel.
Tunisie,Mouez Hassen,GAR,1.86m,70kg,4 sel.
Tunisie,Ahmed Khalil,MIL,1.87m,75kg,4 sel.
Uruguay,Maxi Pereira,DEF,1.73m,73kg,127 sel.
Uruguay,Diego Godin,DEF,1.85m,75kg,121 sel.
Uruguay,Cristian Rodriguez,MIL,1.75m,79kg,109 sel.
Uruguay,Edinson Cavani,ATT,1.88m,78kg,105 sel.
Uruguay,Luis Suarez,ATT,1.82m,85kg,102 sel.
Uruguay,Fernando Muslera,GAR,1.90m,74kg,101 sel.
Uruguay,Martin Caceres,DEF,1.82m,75kg,80 sel.
Uruguay,Jose Gimenez,DEF,1.85m,77kg,45 sel.
Uruguay,Cristhian Stuani,ATT,1.86m,78kg,42 sel.
Uruguay,Carlos Sanchez,MIL,1.71m,74kg,38 sel.
Uruguay,Sebastian Coates,DEF,1.96m,89kg,31 sel.
Uruguay,Matias Vecino,MIL,1.87m,81kg,26 sel.
Uruguay,Gaston Silva,DEF,1.85m,74kg,17 sel.
Uruguay,Giorgian De Arrascaeta,MIL,1.72m,67kg,16 sel.
Uruguay,Nahitan Nandez,MIL,1.71m,70kg,16 sel.
Uruguay,Martin Silva,GAR,1.86m,80kg,11 sel.
Uruguay,Rodrigo Bentancur,MIL,1.87m,74kg,11 sel.
Uruguay,Diego Laxalt,MIL,1.78m,66kg,9 sel.
Uruguay,Lucas Torreira,MIL,1.68m,64kg,7 sel.
Uruguay,Maximiliano Gomez,ATT,1.86m,85kg,6 sel.
Uruguay,Guillermo Varela,DEF,1.73m,70kg,5 sel.
Uruguay,Jonathan Urretaviscaya,MIL,1.72m,66kg,4 sel.
Uruguay,Martin Campana,GAR,1.84m,79kg,1 sel.
